OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN
587727178986356823,00:00:00.41,-10:22:25.7,59,0.61,0.034,0.0,0.153,0.153,0.051,0.186,0.61,0.186,0,0,1
587727227300741210,00:00:00.74,-09:13:20.2,18,0.611,0.0,0.167,0.222,0.0,0.0,0.389,0.203,0.797,1,0,0
587727225153257596,00:00:01.03,-10:56:48.0,68,0.735,0.029,0.0,0.147,0.074,0.015,0.176,0.432,0.428,0,0,1
587730774962536596,00:00:01.38,+15:30:35.3,52,0.885,0.019,0.0,0.058,0.019,0.019,0.077,0.885,0.077,0,1,0
587731186203885750,00:00:01.55,-00:05:33.3,59,0.712,0.0,0.0,0.22,0.068,0.0,0.22,0.64,0.29,0,0,1
587727180060098638,00:00:01.57,-09:29:40.3,28,0.857,0.0,0.036,0.0,0.107,0.0,0.036,0.83,0.06,0,0,1
587731187277627676,00:00:01.86,+00:43:09.3,38,0.5,0.0,0.053,0.289,0.105,0.053,0.342,0.351,0.473,0,0,1
587727223024189605,00:00:02.00,+15:41:49.8,26,0.423,0.0,0.0,0.577,0.0,0.0,0.577,0.143,0.857,1,0,0
587730775499407375,00:00:02.10,+15:52:54.2,62,0.355,0.016,0.21,0.323,0.0,0.097,0.548,0.355,0.548,0,0,1
587727221950382424,00:00:02.41,+14:49:19.0,31,0.484,0.129,0.065,0.258,0.065,0.0,0.452,0.109,0.789,1,0,0
587730774425665704,00:00:02.58,+15:02:28.3,24,0.583,0.042,0.125,0.167,0.083,0.0,0.333,0.147,0.701,0,0,1
587730773888794751,00:00:02.82,+14:42:55.9,26,0.654,0.077,0.0,0.077,0.192,0.0,0.154,0.621,0.185,0,0,1
588015507658768464,00:00:03.24,-01:06:46.8,57,0.474,0.088,0.0,0.263,0.175,0.0,0.351,0.324,0.48,0,0,1
587727178449485858,00:00:03.33,-10:43:16.0,24,0.125,0.0,0.0,0.875,0.0,0.0,0.875,0.024,0.976,1,0,0
587730773351858407,00:00:03.46,+14:11:53.6,64,0.625,0.016,0.016,0.25,0.078,0.016,0.281,0.245,0.597,0,0,1
587731187277693069,00:00:04.12,+00:45:07.9,30,0.933,0.0,0.033,0.0,0.033,0.0,0.033,0.913,0.054,0,1,0
587727227837612116,00:00:04.18,-08:44:03.0,37,0.73,0.0,0.081,0.135,0.054,0.0,0.216,0.648,0.295,0,0,1
587727225153257606,00:00:04.60,-10:58:34.7,30,0.6,0.0,0.0,0.133,0.233,0.033,0.133,0.368,0.264,0,0,1
587727180596969574,00:00:04.60,-08:56:37.6,30,0.167,0.333,0.033,0.467,0.0,0.0,0.833,0.075,0.925,1,0,0
587731187277693072,00:00:04.74,+00:46:54.2,36,0.722,0.083,0.111,0.083,0.0,0.0,0.278,0.606,0.394,0,0,1
587727227300741221,00:00:05.17,-09:13:04.6,66,0.424,0.0,0.03,0.061,0.03,0.455,0.091,0.335,0.133,0,0,1
588015507658768548,00:00:05.54,-01:12:58.9,28,0.179,0.0,0.429,0.321,0.071,0.0,0.75,0.061,0.861,0,0,1
587727221413511423,00:00:05.70,+14:24:44.8,56,0.321,0.036,0.339,0.143,0.125,0.036,0.518,0.069,0.721,0,0,1
587730775499407519,00:00:06.11,+15:52:31.4,58,0.828,0.017,0.0,0.086,0.069,0.0,0.103,0.556,0.326,0,0,1
588015509806252152,00:00:06.67,+00:30:16.8,38,0.711,0.0,0.0,0.132,0.158,0.0,0.132,0.612,0.216,0,0,1
587727221413511425,00:00:06.70,+14:19:58.5,55,0.818,0.036,0.0,0.036,0.109,0.0,0.073,0.818,0.073,0,1,0
588015510343123099,00:00:07.12,+00:51:28.5,47,0.766,0.021,0.043,0.149,0.021,0.0,0.213,0.602,0.373,0,0,1
587727220876640496,00:00:07.35,+13:54:36.6,24,0.833,0.0,0.0,0.125,0.042,0.0,0.125,0.645,0.301,0,0,1
587730775499407506,00:00:07.37,+15:51:19.2,31,0.742,0.0,0.065,0.0,0.097,0.097,0.065,0.513,0.183,0,0,1
587730775499407527,00:00:07.59,+15:54:07.4,50,0.8,0.02,0.0,0.08,0.1,0.0,0.1,0.41,0.362,0,0,1
587730775499407394,00:00:07.62,+15:50:03.2,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
588015508195639450,00:00:07.76,-00:43:24.9,42,0.429,0.238,0.0,0.119,0.214,0.0,0.357,0.106,0.579,0,0,1
587731186203951236,00:00:07.82,-00:02:26.1,31,0.226,0.581,0.032,0.161,0.0,0.0,0.774,0.226,0.774,0,0,1
587730773888794640,00:00:08.09,+14:32:45.7,33,0.273,0.03,0.242,0.061,0.121,0.273,0.333,0.09,0.435,0,0,1
587730772815052960,00:00:08.50,+13:44:41.4,22,0.682,0.0,0.045,0.273,0.0,0.0,0.318,0.334,0.666,1,0,0
