OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN
587731187277693069,00:00:04.12,+00:45:07.9,30,0.933,0.0,0.033,0.0,0.033,0.0,0.033,0.913,0.054,0,1,0
587730775499407394,00:00:07.62,+15:50:03.2,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
587731187814563977,00:00:12.79,+01:07:12.7,28,0.036,0.929,0.0,0.0,0.0,0.036,0.929,0.036,0.929,1,0,0
587727225690128575,00:00:14.09,-10:28:45.9,67,0.94,0.0,0.0,0.015,0.045,0.0,0.015,0.927,0.028,0,1,0
587730773888794890,00:00:38.69,+14:35:48.2,19,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0
587727177912680543,00:00:39.86,-11:09:27.7,29,0.931,0.034,0.0,0.0,0.034,0.0,0.034,0.931,0.034,0,1,0
587730775499472924,00:00:40.03,+15:56:51.8,33,0.909,0.0,0.03,0.0,0.061,0.0,0.03,0.909,0.03,0,1,0
587730773888860322,00:00:40.04,+14:33:07.7,53,0.925,0.0,0.0,0.019,0.057,0.0,0.019,0.925,0.019,0,1,0
587731187277758607,00:00:44.15,+00:40:22.8,27,0.963,0.0,0.0,0.037,0.0,0.0,0.037,0.923,0.077,0,1,0
587727225690194001,00:00:44.79,-10:24:20.9,35,0.0,0.943,0.0,0.057,0.0,0.0,1.0,0.0,1.0,1,0,0
587727222487384226,00:00:50.19,+15:21:44.2,39,0.923,0.026,0.0,0.026,0.0,0.026,0.051,0.914,0.06,0,1,0
588015510343188562,00:00:51.56,+00:53:23.9,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
588015507658834052,00:00:53.51,-01:06:55.0,32,0.906,0.094,0.0,0.0,0.0,0.0,0.094,0.755,0.245,0,0,1
587727223561126046,00:00:56.33,+16:05:33.7,31,0.903,0.0,0.0,0.032,0.065,0.0,0.032,0.735,0.155,0,0,1
587727226764001335,00:01:00.19,-09:36:12.4,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
587727226764001349,00:01:05.80,-09:42:40.8,30,0.967,0.0,0.0,0.0,0.033,0.0,0.0,0.967,0.0,0,1,0
587727225690259639,00:01:06.37,-10:24:00.9,54,0.0,0.0,0.944,0.056,0.0,0.0,1.0,0.0,1.0,1,0,0
587730774962602216,00:01:07.75,+15:28:10.1,35,0.971,0.0,0.0,0.029,0.0,0.0,0.029,0.971,0.029,0,1,0
587727225690259651,00:01:09.72,-10:32:34.9,26,0.923,0.0,0.0,0.077,0.0,0.0,0.077,0.72,0.28,0,0,1
588015508732641374,00:01:28.50,-00:13:27.9,27,0.037,0.0,0.963,0.0,0.0,0.0,0.963,0.023,0.977,1,0,0
587730773352054986,00:01:32.25,+14:11:07.9,35,0.914,0.029,0.0,0.029,0.029,0.0,0.057,0.887,0.085,0,0,1
